S1_Temp,S2_Temp,S3_Temp,S4_Temp,S3_Light,S4_Light,S4_Sound,S6_PIR,S7_PIR,day_type,Time_of_day,Room_Occupancy_Count
24.94,24.75,24.56,25.38,53,40,0.06,0,0,1,1,1
24.94,24.75,24.56,25.44,53,40,0.06,0,0,1,1,1
25,24.75,24.5,25.44,53,40,0.06,0,0,1,1,1
25,24.75,24.56,25.44,53,40,0.09,0,0,1,1,1
25,24.75,24.56,25.44,54,40,0.06,0,0,1,1,1
25,24.81,24.56,25.44,54,40,0.07,0,0,1,1,1
25,24.75,24.56,25.44,54,40,0.06,1,0,1,1,1
25,24.81,24.56,25.44,54,41,0.05,0,0,1,1,1
25,24.81,24.56,25.5,56,43,0.13,0,0,1,1,1
25,24.81,24.56,25.5,57,43,0.39,1,1,1,1,1
25.06,24.81,24.56,25.44,57,43,0.21,1,1,1,1,1
25.06,24.81,24.56,25.5,57,44,0.09,1,0,1,1,1
25.06,24.88,24.63,25.5,57,43,0.06,1,0,1,1,1
25.06,24.81,24.63,25.56,57,44,0.09,1,0,1,1,1
25.06,24.88,24.63,25.56,58,44,0.13,1,0,1,1,1
25.06,24.88,24.63,25.56,58,44,0.06,1,0,1,1,1
25.06,24.88,24.63,25.56,58,44,0.05,0,0,1,1,1
25.06,24.81,24.63,25.56,57,44,0.05,1,0,1,1,1
25.06,24.81,24.63,25.56,58,44,0.06,1,0,1,1,1
25.06,24.88,24.63,25.5,58,45,0.06,0,0,1,1,1
25.13,24.88,24.63,25.5,58,44,0.06,0,0,1,1,1
25.06,24.88,24.63,25.56,57,44,0.06,0,0,1,1,1
25.13,24.88,24.63,25.56,58,45,0.06,0,0,1,1,1
25.13,24.88,24.63,25.56,58,45,0.07,0,0,1,1,1
25.13,24.88,24.63,25.5,59,45,0.06,0,0,1,1,1
25.13,24.88,24.69,25.5,58,45,0.14,1,0,1,1,1
25.13,24.88,24.69,25.5,59,44,0.07,1,0,1,1,1
25.13,24.88,24.69,25.56,58,44,0.09,1,0,1,1,1
25.13,24.88,24.69,25.56,58,44,0.07,1,0,1,1,1
25.13,24.88,24.69,25.56,58,45,0.16,1,0,1,1,1
25.19,24.88,24.69,25.56,58,44,0.06,0,0,1,1,1
25.19,24.88,24.69,25.56,58,45,0.06,0,0,1,1,1
25.19,24.88,24.69,25.56,58,44,0.08,1,0,1,1,1
25.19,24.88,24.69,25.56,58,44,0.05,0,0,1,1,1
25.19,24.88,24.69,25.69,59,44,0.06,0,0,1,1,1
25.19,24.88,24.69,25.63,58,44,0.14,0,0,1,1,1
25.19,24.88,24.69,25.63,57,44,0.06,0,0,1,1,1
25.19,24.94,24.69,25.56,58,44,0.06,0,0,1,1,1
25.19,24.88,24.69,25.56,58,44,0.06,0,0,1,1,1
25.19,24.94,24.69,25.56,57,43,0.06,0,0,1,1,1
25.19,24.94,24.75,25.56,57,44,0.13,0,0,1,1,1
25.19,24.94,24.69,25.63,59,45,0.07,0,0,1,1,1
25.19,24.94,24.75,25.63,59,45,0.06,0,0,1,1,1
